ID,Build Version,Expected Result,Actual Result,Test Status,Browser Name
02-24,2,NONE,NONE,PASS,Firefox
02-24,2,NONE,NONE,PASS,Microsoft Edge
02-25,2,0,0,PASS,Google Chrome
02-25,2,0,0,PASS,Firefox
02-25,2,0,0,PASS,Microsoft Edge
02-26,2,3.45,3.45,PASS,Google Chrome
02-26,2,3.45,3.45,PASS,Firefox
02-26,2,3.45,3.45,PASS,Microsoft Edge
02-27,2,-0.1000001,-0.10000010000000001,FAIL,Google Chrome
02-27,2,-0.1000001,-0.10000010000000001,FAIL,Firefox
02-27,2,-0.1000001,-0.10000010000000001,FAIL,Microsoft Edge
02-28,2,-1999999998,-1999999998,PASS,Google Chrome
02-28,2,-1999999998,-1999999998,PASS,Firefox
02-28,2,-1999999998,-1999999998,PASS,Microsoft Edge
02-29,2,0.022,0.022000000000000002,FAIL,Google Chrome
02-29,2,0.022,0.022000000000000002,FAIL,Firefox
02-29,2,0.022,0.022000000000000002,FAIL,Microsoft Edge
02-30,2,10,10,PASS,Google Chrome
02-30,2,10,10,PASS,Firefox
02-30,2,10,10,PASS,Microsoft Edge
02-31,2,0.11,0.11000000000000001,FAIL,Google Chrome
02-31,2,0.11,0.11000000000000001,FAIL,Firefox
02-31,2,0.11,0.11000000000000001,FAIL,Microsoft Edge
02-32,2,0,0,PASS,Google Chrome
02-32,2,0,0,PASS,Firefox
02-32,2,0,0,PASS,Microsoft Edge
02-33,2,10100,10100,PASS,Google Chrome
02-33,2,10100,10100,PASS,Firefox
02-33,2,10100,10100,PASS,Microsoft Edge
02-34,2,2.2,2,FAIL,Google Chrome
02-34,2,2.2,2,FAIL,Firefox
02-34,2,2.2,2,FAIL,Microsoft Edge
02-35,2,NONE,NONE,PASS,Google Chrome
02-35,2,NONE,NONE,PASS,Firefox
02-35,2,NONE,NONE,PASS,Microsoft Edge
02-36,2,NONE,NONE,PASS,Google Chrome
02-36,2,NONE,NONE,PASS,Firefox
02-36,2,NONE,NONE,PASS,Microsoft Edge
02-37,2,11,11,PASS,Google Chrome
02-37,2,11,11,PASS,Firefox
02-37,2,11,11,PASS,Microsoft Edge
02-38,2,9,9,PASS,Google Chrome
02-38,2,9,9,PASS,Firefox
02-38,2,9,9,PASS,Microsoft Edge
02-39,2,0,0,PASS,Google Chrome
02-39,2,0,0,PASS,Firefox
02-39,2,0,0,PASS,Microsoft Edge
02-40,2,0,0,PASS,Google Chrome
02-40,2,0,0,PASS,Firefox
02-40,2,0,0,PASS,Microsoft Edge
02-41,2,NONE,NONE,PASS,Google Chrome
02-41,2,NONE,NONE,PASS,Firefox
02-41,2,NONE,NONE,PASS,Microsoft Edge
02-42,2,0.02,0.02,PASS,Google Chrome
02-42,2,0.02,0.02,PASS,Firefox
02-42,2,0.02,0.02,PASS,Microsoft Edge
02-43,2,500,500,PASS,Google Chrome
02-43,2,500,500,PASS,Firefox
02-43,2,500,500,PASS,Microsoft Edge
02-44,2,-39999999996,-39999999996,PASS,Google Chrome
02-44,2,-39999999996,-39999999996,PASS,Firefox
02-44,2,-39999999996,-39999999996,PASS,Microsoft Edge
02-45,2,NONE,NONE,PASS,Google Chrome
02-45,2,NONE,NONE,PASS,Firefox
02-45,2,NONE,NONE,PASS,Microsoft Edge
02-46,2,0,0,PASS,Google Chrome
02-46,2,0,0,PASS,Firefox
02-46,2,0,0,PASS,Microsoft Edge
02-47,2,0,0,PASS,Google Chrome
02-47,2,0,0,PASS,Firefox
02-47,2,0,0,PASS,Microsoft Edge
02-48,2,1,1,PASS,Google Chrome
02-48,2,1,1,PASS,Firefox
02-48,2,1,1,PASS,Microsoft Edge
02-49,2,-1,-10.000000009,FAIL,Google Chrome
02-49,2,-1,-10.000000009,FAIL,Firefox
02-49,2,-1,-10.000000009,FAIL,Microsoft Edge
02-50,2,9999999990,99999999990,FAIL,Google Chrome
02-50,2,9999999990,99999999990,FAIL,Firefox
02-50,2,9999999990,99999999990,FAIL,Microsoft Edge
02-51,2,,0,FAIL,Google Chrome
02-51,2,,0,FAIL,Firefox
02-51,2,,0,FAIL,Microsoft Edge
02-52,2,A1,NONE,FAIL,Google Chrome
02-52,2,A1,NONE,FAIL,Firefox
02-52,2,A1,NONE,FAIL,Microsoft Edge
02-53,2,10.1,1.1,FAIL,Google Chrome
02-53,2,10.1,1.1,FAIL,Firefox
02-53,2,10.1,1.1,FAIL,Microsoft Edge
02-54,2,10000000000.1,1000000000.1,FAIL,Google Chrome
02-54,2,10000000000.1,1000000000.1,FAIL,Firefox
02-54,2,10000000000.1,1000000000.1,FAIL,Microsoft Edge
02-55,2,1,1,PASS,Google Chrome
02-55,2,1,1,PASS,Firefox
02-55,2,1,1,PASS,Microsoft Edge
02-56,2,0.1111,0.1111,PASS,Google Chrome
02-56,2,0.1111,0.1111,PASS,Firefox
02-56,2,0.1111,0.1111,PASS,Microsoft Edge
02-57,2,ASDASD,NONE,FAIL,Google Chrome
02-57,2,ASDASD,NONE,FAIL,Firefox
02-57,2,ASDASD,NONE,FAIL,Microsoft Edge
